id,casts,commentCount,countries,directors,durations,genres,languages,originalTitle,pubDate,ratingCount,summary,title,totalRating,writers,year
11," Christian Bale, Heath Ledger, Aaron Eckhart",0,2012-12-03 (US)," Anthony Russo, Joe Russo",114,Superhero,English,The Dark Knight,null,23011,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SY1000_CR0,0,675,1000_AL_.jpg""}}"" Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.",The Dark Knight,223118," Anthony Russo, Joe Russo",2012
12," Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",0,2018-11-20 (US), Bryan Singer,90,Superhero,English,Avengers: Infinity War,null,23012,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",Avengers: Infinity War,223118, Bryan Singer,2018
13," James McAvoy, Michael Fassbender, Jennifer Lawrence ",0,2017-02-17 (US),David Ayer,105,Superhero,English,X-Men: Apocalypse,null,23013,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SY1000_CR0,0,676,1000_AL_.jpg""}}"" After the re-emergence of the world's first mutant, the world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",X-Men: Apocalypse,223118,David Ayer,2017
14,"Will Smith, Jared Leto, Margot Robbie",0,2016-11-03 (US),Taika Waititi,106,Superhero,English, Suicide Squad,null,23014,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" From director David Ayer (""Fury,"" ""End of Watch"") comes ""Suicide Squad,"" starring Oscar nominee Will Smith (""Ali,"" ""The Pursuit of Happyness""), Oscar winner Jared Leto (""Dallas Buyers Club""), Margot Robbie (""The Wolf of Wall Street,"" ""Focus""), Joel Kinnaman (Netflix's ""House of Cards"") and Oscar nominee Viola Davis (""The Help,"" ""Doubt""). It feels good to be bad... Assemble a team of the world's most dangerous, incarcerated Super Villains, provide them with the most powerful arsenal at the government's disposal, and send them off on a mission to defeat an enigmatic, insuperable entity. U.S. intelligence officer Amanda Waller has determined only a secretly convened group of disparate, despicable individuals with next to nothing to lose will do. However, once they realize they weren't picked to succeed but chosen for their patent culpability when they inevitably fail, will the Suicide Squad resolve to die trying, or decide it's every man for himself?", Suicide Squad,223118,Taika Waititi,2016
15,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett",0,2012-03-20 (US),Zack Snyder,110,Superhero,English,Thor: Ragnarok,null,23015,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" In Marvel Studios' ""Thor: Ragnarok,"" Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarok--the destruction of his homeworld and the end of Asgardian civilization--at the hands of an all-powerful new threat, the ruthless Hela. But first he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avenger--the Incredible Hulk!",Thor: Ragnarok,223118,Zack Snyder,2012
16,"Ben Affleck, Gal Gadot, Jason Momoa",0,2014-06-30 (US),M. Night Shyamalan,112,Superhero,English,Justice League,null,23016,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY1000_SX675_AL_.jpg""}}"" Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy. Together, Batman and Wonder Woman work quickly to find and recruit a team of metahumans to stand against this newly awakened threat. But despite the formation of this unprecedented league of heroes--Batman, Wonder Woman, Aquaman, Cyborg and The Flash--it may already be too late to save the planet from an assault of catastrophic proportions.",Justice League,223118,M. Night Shyamalan,2014
17,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson",0,2016-01-01 (US),Joss Whedon,113,Superhero,English, Split,null,23017,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SY1000_CR0,0,675,1000_AL_.jpg""}}"" While the mental divisions of those with dissociative identity disorder have long fascinated and eluded science, it is believed that some can also manifest unique physical attributes for each personality, a cognitive and physiological prism within a single being. Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him - as well as everyone around him - as the walls between his compartments shatter apart.", Split,223118,Joss Whedon,2016
18,"Robert Downey Jr., Chris Evans, Scarlett Johansson",0,2014-01-31 (US),Patty Jenkins,145,Superhero,English, The Avengers,null,23018,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY1000_CR0,0,675,1000_AL_.jpg""}}"" Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins. -- (C) Marvel ", The Avengers,223118,Patty Jenkins,2014
19,"Gal Gadot, Chris Pine, Robin Wright",0,2015-12-30 (US),Patty Jenkins,143,Superhero,English,Wonder Woman,null,23019,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SY1000_SX675_AL_.jpg""}}"" An Amazon princess (Gal Gadot) finds her idyllic life on an island occupied only by female warriors interrupted when a pilot (Chris Pine) crash-lands nearby. After rescuing him, she learns that World War I is engulfing the planet, and vows to use her superpowers to restore peace. Directed by Patty Jenkins (Monster).",Wonder Woman,223118,Patty Jenkins,2015
20,"Paul Rudd, Michael Douglas, Corey Stoll",0,2018-10-11 (US),Peyton Reed,142,Superhero,English,Ant-Man,null,23020,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_.jpg""}}"" The next evolution of the Marvel Cinematic Universe brings a founding member of The Avengers to the big screen for the first time with Marvel Studios' ""Ant-Man."" Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world. -- (C) Marvel",Ant-Man,223118,Peyton Reed,2018
21,"Constance Wu, Henry Golding, Michelle Yeoh",0,2018-10-11 (US),Jon M. Chu,131,Love,English,Crazy Rich Asians,null,23021,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTYxNDMyOTAxN15BMl5BanBnXkFtZTgwMDg1ODYzNTM@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" ""Crazy Rich Asians"" follows native New Yorker Rachel Chu (Wu) as she accompanies her longtime boyfriend, Nick Young (Golding), to his best friend's wedding in Singapore. Excited about visiting Asia for the first time but nervous about meeting Nick's family, Rachel is unprepared to learn that Nick has neglected to mention a few key details about his life. It turns out that he is not only the scion of one of the country's wealthiest families but also one of its most sought-after bachelors. Being on Nick's arm puts a target on Rachel's back, with jealous socialites and, worse, Nick's own disapproving mother (Yeoh) taking aim. And it soon becomes clear that while money can't buy love, it can definitely complicate things.",Crazy Rich Asians,223118,Jon M. Chu,2018
22,"Hugh Grant, Martine McCutcheon, Liam Neeson",0,2018-10-11 (US),Richard Curtis,130,Love,English,Love Actually,null,23022,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTY4NjQ5NDc0Nl5BMl5BanBnXkFtZTYwNjk5NDM3._V1_.jpg""}}"" All of London is in love -- or longing to be -- in Four Weddings and a Funeral writer Richard Curtis' first directorial effort. Billed as ""the ultimate romantic comedy,"" Love Actually involves more than a dozen main characters, each weaving his or her way into another's heart over the course of one particularly eventful Christmas. The seemingly perfect wedding of Juliet (Keira Knightley) and Peter (Chiwetel Ejiofor) brings many of the principals together, including heartsick best man Mark (Andrew Lincoln), who harbors a very unrequited crush on Juliet. There's also recent widower Daniel (Liam Neeson), trying to help his lonely stepson Sam (Thomas Sangster) express his true feelings to a classmate. Across town, devoted working mother Karen (Emma Thompson) tries to rekindle the passion of her husband, Harry (Alan Rickman), who secretly pines for a young colleague of his. In the same office, the lonely Sarah (Laura Linney) not-so-secretly pines for a man just a few desks away (Rodrigo Santoro), who returns her affections but may not be able to dissuade her neuroses. Providing the unofficial soundtrack for all of the couples is an aging rocker (Bill Nighy) who just wants to cash in and get laid -- but even he might find a meaningful relationship in the most unlikely of places. A working print of Love Actually premiered at the 2003 Toronto International Film Festival. ~ Michael Hastings, Rovi",Love Actually,223118,Richard Curtis,2018
23,"Kate Winslet, Cameron Diaz, Jude Law",0,2018-10-11 (US),Nancy Meyers,125,Love,English,The Holiday,null,23023,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTI1MDk4MzA2OF5BMl5BanBnXkFtZTYwMjQ3NDc3._V1_.jpg""}}"" Nancy Meyers' romantic comedy Holiday stars Cameron Diaz and Kate Winslet as two women who exchange houses in order to get a new lease on life. After each suffers her fair share of romantic disappointments, Englishwoman Iris (Winslet) and L.A. woman Amanda (Diaz) meet on-line at a website devoted to helping people exchange houses for vacations. Each agrees to spend the Christmas holiday at the other's home. While each suffers from a minor case of culture shock, both women also end up becoming involved with a man. Iris makes the acquaintance of an upbeat everyman played by Jack Black, while Amanda spends time with a handsome Brit played by Jude Law. Both women must decide what to do with these new relationships as their pre-arranged house switch is scheduled to last less than two weeks. ~ Perry Seibert, Rovi",The Holiday,223118,Nancy Meyers,2018
24,"Nick Robinson, Jennifer Garner, Josh Duhamel",0,2018-10-11 (US),Greg Berlanti,112,Love,English,"Love, Simon",null,23024,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BNTMyZDdiMzUtZjcxNS00Mjc3LTljY2UtYjI4YmY5NzJlYjc1XkEyXkFqcGdeQXVyMTA5OTkwNTc@._V1_SY1000_CR0,0,677,1000_AL_.jpg""}}"" Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't actually know the identity of the anonymous classmate he's fallen for online. Resolving both issues proves hilarious, terrifying and life-changing. Directed by Greg Berlanti (Riverdale, The Flash, Supergirl), written by Isaac Aptaker & Elizabeth Berger (This is Us), and based on Becky Albertalli's acclaimed novel, LOVE, SIMON is a funny and heartfelt coming-of-age story about the thrilling ride of finding yourself and falling in love.","Love, Simon",223118,Greg Berlanti,2018
25,"Emilia Clarke, Sam Claflin, Janet McTeer",0,2018-10-11 (US),Thea Sharrock,132,Love,English,Me Before You,null,23025,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" Adapted from the bestselling novel by Jo Jo Moyes, Me Before You tells the story of the unexpected relationship that blossoms between a contented small town Englishwoman and the wealthy, paralyzed Londoner who hires her as his caretaker. Theater director Thea Sharrock makes her feature directorial debut with this MGM/New Line Cinema co-production. ~ Jason Buchanan, Rovi",Me Before You,223118,Thea Sharrock,2018
26,"Kristen Stewart, Robert Pattinson, Billy Burke",0,2018-10-11 (US),Catherine Hardwicke,132,Animation,English,Twilight,null,23026,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SY1000_CR0,0,674,1000_AL_.jpg""}}"" When Bella Swan (Kristen Stewart) reluctantly moved to the perpetually overcast town of Forks, WA, and set out to carve a niche for herself, she assumed it would be one similar to the low-profile social position she held back in Phoenix. First on the list of surprises was the unfamiliar attention from the male population of her new high school; second, the attention from one male in particular: Edward Cullen, Vampire (Robert Pattinson). Before long, the unlikely soul mates find themselves in a passionate relationship with a variety of significant setbacks, including Edward's special-needs diet (he doesn't eat humans, but Bella's scent inspires a nearly impossible to harness bloodlust) and the human girl's mortality. Though things proceed relatively smoothly at first (Edward even introduces Bella to his adoptive vampire family), a visiting vampire clan consisting of James (Cam Gigandet), Victoria (Rachelle Lefevre), and Laurent (Edi Gathegi) catches Bella's unique scent and threatens the young couple's budding, if dangerous, happiness. James, known for his powerful tracking ability, becomes obsessed with making Bella his next victim. Fearing for Bella's safety and that of her loved ones, the Cullens must combine their collective talents in order to stop the highly predatory James before his goal is accomplished. ~ Tracie Cooper, Rovi",Twilight,223118,Catherine Hardwicke,2018
27,"Domhnall Gleeson, Rachel McAdams, Bill Nighy",0,2018-10-11 (US),Richard Curtis,123,Love,English,About Time,null,23027,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SY1000_CR0,0,631,1000_AL_.jpg""}}"" At the age of 21, Tim Lake (Domhnall Gleeson) discovers he can travel in time... The night after another unsatisfactory New Year party, Tim's father (Bill Nighy) tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life-so he decides to make his world a better place...by getting a girlfriend. Sadly, that turns out not to be as easy as you might think. Moving from the Cornwall coast to London to train as a lawyer, Tim finally meets the beautiful but insecure Mary (Rachel McAdams). They fall in love, then an unfortunate time-travel incident means he's never met her at all. So they meet for the first time again-and again-but finally, after a lot of cunning time-traveling, he wins her heart. Tim then uses his power to create the perfect romantic proposal, to save his wedding from the worst best-man speeches, to save his best friend from professional disaster and to get his pregnant wife to the hospital in time for the birth of their daughter, despite a nasty traffic jam outside Abbey Road. But as his unusual life progresses, Tim finds out that his unique gift can't save him from the sorrows and ups and downs that affect all families, everywhere. There are great limits to what time travel can achieve, and it can be dangerous too. About Time is a comedy about love and time travel, which discovers that, in the end, making the most of life may not need time travel at all.(c) Universal",About Time,223118,Richard Curtis,2018
28,"Steve Carell, Ryan Gosling, Julianne Moore",0,2018-10-11 (US),"Glenn Ficarra, John Requa",122,Love,English,"Crazy, Stupid, Love.",null,23028,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_SY1000_SX675_AL_.jpg""}}"" At fortysomething, straight-laced Cal Weaver (Steve Carell) is living the dream-good job, nice house, great kids and marriage to his high school sweetheart. But when Cal learns that his wife, Emily (Julianne Moore), has cheated on him and wants a divorce, his ""perfect"" life quickly unravels. Worse, in today's single world, Cal, who hasn't dated in decades, stands out as the epitome of un-smooth. Now spending his free evenings sulking alone at a local bar, the hapless Cal is taken on as wingman and protégé to handsome, thirtysomething player Jacob Palmer (Ryan Gosling). -- (C) Warner Bros","Crazy, Stupid, Love.",223118,"Glenn Ficarra, John Requa",2018
29,"Jennifer Lawrence, Chris Pratt, Michael Sheen",0,2018-10-11 (US),Morten Tyldum,120,Love,English,Passengers,null,23029,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BZjk4ZTMwMTYtOTk1NC00OTA0LWFhMGYtZTBjMzViMDY2YWZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY1000_SX675_AL_.jpg""}}"" Jennifer Lawrence and Chris Pratt star in an exciting action-thriller about two passengers who are on a 120-year journey to another planet when their hibernation pods wake them 90 years too early. Jim and Aurora are forced to unravel the mystery behind the malfunction as the ship teeters on the brink of collapse, with the lives of thousands of passengers in jeopardy.",Passengers,223118,Morten Tyldum,2018
30,"Leonardo DiCaprio, Kate Winslet, Billy Zane",0,2018-10-11 (US),James Cameron,117,Love,English,Titanic,null,23030,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,671,1000_AL_.jpg""}}"" This spectacular epic re-creates the ill-fated maiden voyage of the White Star Line's $7.5 million R.M.S Titanic and the tragic sea disaster of April 15, 1912. Running over three hours and made with the combined contributions of two major studios (20th Century-Fox, Paramount) at a cost of more than $200 million, Titanic ranked as the most expensive film in Hollywood history at the time of its release, and became the most successful. Writer-director James Cameron employed state-of-the-art digital special effects for this production, realized on a monumental scale and spanning eight decades. Inspired by the 1985 discovery of the Titanic in the North Atlantic, the contemporary storyline involves American treasure-seeker Brock Lovett (Bill Paxton) retrieving artifacts from the submerged ship. Lovett looks for diamonds but finds a drawing of a young woman, nude except for a necklace. When 102-year-old Rose (Gloria Stuart) reveals she's the person in the portrait, she is summoned to the wreckage site to tell her story of the 56-carat diamond necklace and her experiences of 84 years earlier. The scene then shifts to 1912 Southampton where passengers boarding the Titanic include penniless Jack Dawson (Leonardo DiCaprio) and society girl Rose DeWitt Bukater (Kate Winslet), returning to Philadelphia with her wealthy fiance Cal Hockley (Billy Zane). After the April 10th launch, Rose develops a passionate interest in Jack, and Cal's reaction is vengeful. At midpoint in the film, the Titanic slides against the iceberg and water rushes into the front compartments. Even engulfed, Cal continues to pursue Jack and Rose as the massive liner begins its descent. Cameron launched the project after seeing Robert Ballard's 1987 National Geographic documentary on the wreckage. Blueprints of the real Titanic were followed during construction at Fox's custom-built Rosarito, Mexico studio, where a hydraulics system moved an immense model in a 17-million-gallon water tank. During three weeks aboard the Russian ship Academik Keldysh, underwater sequences were filmed with a 35mm camera in a titanium case mounted on the Russian submersible Mir 1. When the submersible neared the wreck, a video camera inside a remote-operated vehicle was sent into the Titanic's 400-foot bow, bringing back footage of staterooms, furniture and chandeliers. On November 1, 1997, the film had its world premiere at the 10th Tokyo International Film Festival. ~ Bhob Stewart, Rovi",Titanic,223118,James Cameron,2018
31,"Kumail Nanjiani, Zoe Kazan, Holly Hunter",0,2018-10-11 (US),Michael Showalter,115,Love,English,The Big Sick,null,23031,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BZWM4YzZjOTEtZmU5ZS00ZTRkLWFiNjAtZTEwNzIzMDM5MjdmXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SY1000_SX675_AL_.jpg""}}"" Based on the real-life courtship between Kumail Nanjiani and Emily V. Gordon, THE BIG SICK tells the story of Pakistan-born aspiring comedian Kumail (Nanjiani), who connects with grad student Emily (Kazan) after one of his standup sets. However, what they thought would be just a one-night stand blossoms into the real thing, which complicates the life that is expected of Kumail by his traditional Muslim parents. When Emily is beset with a mystery illness, it forces Kumail to navigate the medical crisis with her parents, Beth and Terry (Holly Hunter and Ray Romano) who he's never met, while dealing with the emotional tug-of-war between his family and his heart. THE BIG SICK is directed by Michael Showalter (HELLO MY NAME IS DORIS) and producer by Judd Apatow (TRAINWRECK, THIS IS 40) and Barry Mendel (TRAINWRECK, THE ROYAL TENENBAUMS).",The Big Sick,223118,Michael Showalter,2018
32,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",0,2018-10-11 (US),Peter Farrelly,114,Comedy,English,Green Book,null,23032,"{""images"":{ ""small"":""https://m.media-amazon.com/images/M/MV5BMjMyNzExNzQ5OV5BMl5BanBnXkFtZTgwNjM2MjIxNjM@._V1_SY1000_CR0,0,631,1000_AL_.jpg""}}"" When Tony Lip (Mortensen), a bouncer from an Italian-American neighborhood in the Bronx, is hired to drive Dr. Don Shirley (Ali), a world-class Black pianist, on a concert tour from Manhattan to the Deep South, they must rely on ""The Green Book"" to guide them to the few establishments that were then safe for African-Americans. Confronted with racism, danger-as well as unexpected humanity and humor-they are forced to set aside differences to survive and thrive on the journey of a lifetime.",Green Book,223118,Peter Farrelly,2018
